"filename", "language", "TypeScript", "Markdown", "JavaScript", "CSS", "TypeScript JSX", "SCSS", "JSON with Comments", "Python", "JSON", "YAML", "Ignore", "Docker", "Shell Script", "comment", "blank", "total"
"/Users/levi/Documents/Code/createwithlevi/.github/FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/levi/Documents/Code/createwithlevi/.github/ISSUE_TEMPLATE/bug_report.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 41
"/Users/levi/Documents/Code/createwithlevi/.github/ISSUE_TEMPLATE/feature_request.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/levi/Documents/Code/createwithlevi/.github/dependabot.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"/Users/levi/Documents/Code/createwithlevi/.github/workflows/ci.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 10, 73
"/Users/levi/Documents/Code/createwithlevi/.github/workflows/deploy.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 6, 46
"/Users/levi/Documents/Code/createwithlevi/.github/workflows/docker-build-push.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 5, 89
"/Users/levi/Documents/Code/createwithlevi/.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/levi/Documents/Code/createwithlevi/.prettierrc", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/levi/Documents/Code/createwithlevi/CODE_OF_CONDUCT.md", "Markdown", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 91
"/Users/levi/Documents/Code/createwithlevi/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"/Users/levi/Documents/Code/createwithlevi/README.md", "Markdown", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 124
"/Users/levi/Documents/Code/createwithlevi/content/en/Digital Garden Ideas.md", "Markdown", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 76
"/Users/levi/Documents/Code/createwithlevi/content/en/VS Code Functions.md", "Markdown", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 77
"/Users/levi/Documents/Code/createwithlevi/content/en/index.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"/Users/levi/Documents/Code/createwithlevi/content/index.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/levi/Documents/Code/createwithlevi/content/zh/Digital Garden Ideas.md", "Markdown", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 169
"/Users/levi/Documents/Code/createwithlevi/content/zh/VS Code Functions.md", "Markdown", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 76
"/Users/levi/Documents/Code/createwithlevi/content/zh/index.md", "Markdown", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 56
"/Users/levi/Documents/Code/createwithlevi/content/zh/申請德國機會卡經驗分享.md", "Markdown", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 96
"/Users/levi/Documents/Code/createwithlevi/docs/advanced/architecture.md", "Markdown", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"/Users/levi/Documents/Code/createwithlevi/docs/advanced/creating components.md", "Markdown", 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 235
"/Users/levi/Documents/Code/createwithlevi/docs/advanced/index.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/levi/Documents/Code/createwithlevi/docs/advanced/making plugins.md", "Markdown", 0, 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 306
"/Users/levi/Documents/Code/createwithlevi/docs/advanced/paths.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 52
"/Users/levi/Documents/Code/createwithlevi/docs/authoring content.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 46
"/Users/levi/Documents/Code/createwithlevi/docs/build.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"/Users/levi/Documents/Code/createwithlevi/docs/configuration.md", "Markdown", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 111
"/Users/levi/Documents/Code/createwithlevi/docs/features/Docker Support.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/levi/Documents/Code/createwithlevi/docs/features/Latex.md", "Markdown", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 83
"/Users/levi/Documents/Code/createwithlevi/docs/features/Mermaid diagrams.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"/Users/levi/Documents/Code/createwithlevi/docs/features/Obsidian compatibility.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18
"/Users/levi/Documents/Code/createwithlevi/docs/features/OxHugo compatibility.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"/Users/levi/Documents/Code/createwithlevi/docs/features/RSS Feed.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/levi/Documents/Code/createwithlevi/docs/features/Roam Research compatibility.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"/Users/levi/Documents/Code/createwithlevi/docs/features/SPA Routing.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"/Users/levi/Documents/Code/createwithlevi/docs/features/backlinks.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/levi/Documents/Code/createwithlevi/docs/features/breadcrumbs.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 37
"/Users/levi/Documents/Code/createwithlevi/docs/features/callouts.md", "Markdown", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 97
"/Users/levi/Documents/Code/createwithlevi/docs/features/comments.md", "Markdown", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 128
"/Users/levi/Documents/Code/createwithlevi/docs/features/darkmode.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/levi/Documents/Code/createwithlevi/docs/features/explorer.md", "Markdown", 0, 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 320
"/Users/levi/Documents/Code/createwithlevi/docs/features/folder and tag listings.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 34
"/Users/levi/Documents/Code/createwithlevi/docs/features/full-text search.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31
"/Users/levi/Documents/Code/createwithlevi/docs/features/graph view.md", "Markdown", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 64
"/Users/levi/Documents/Code/createwithlevi/docs/features/i18n.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/levi/Documents/Code/createwithlevi/docs/features/index.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/levi/Documents/Code/createwithlevi/docs/features/popover previews.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18
"/Users/levi/Documents/Code/createwithlevi/docs/features/private pages.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 36
"/Users/levi/Documents/Code/createwithlevi/docs/features/recent notes.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/levi/Documents/Code/createwithlevi/docs/features/social images.md", "Markdown", 0, 352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 402
"/Users/levi/Documents/Code/createwithlevi/docs/features/syntax highlighting.md", "Markdown", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 144
"/Users/levi/Documents/Code/createwithlevi/docs/features/table of contents.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"/Users/levi/Documents/Code/createwithlevi/docs/features/upcoming features.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/levi/Documents/Code/createwithlevi/docs/features/wikilinks.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"/Users/levi/Documents/Code/createwithlevi/docs/hosting.md", "Markdown", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 289
"/Users/levi/Documents/Code/createwithlevi/docs/index.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 47
